,id,slug,ELO
0,98767991299243165,lcs,1300
1,109511549831443335,na,1100
2,109518549825754242,lcs_challengers_qualifiers,1000
3,107898214974993351,college_championship,1000
4,98767991332355509,cblol,1100
5,98767991310872058,lck,1500
6,98767991355908944,lcl,1100
7,105709090213554609,lco,1100
8,98767991302996019,lec,1400
9,98767991349978712,ljl,1100
10,101382741235120470,lla,1100
11,98767991314006698,lpl,1500
12,104366947889790212,pcs,1200
13,98767991343597634,tcl,1000
14,107213827295848783,vcs,1100
15,98767991325878492,msi,1600
16,98767975604431411,world,1600
18,100695891328981122,emea,1100
19,105266103462388553,lfl,1100
20,105266098308571975,nlc,1100
21,107407335299756365,elite_series,1000
22,105266101075764040,liga,1000
23,105266094998946936,pg,1000
24,105266088231437431,ultraliga,1100
25,105266074488398661,superliga,1100
26,105266091639104326,prime,1100
27,105266106309666619,hitpoint_masters,1000
28,105266111679554379,esports_balkan_league,1000
29,105266108767593290,greek_legends,1000
30,109545772895506419,arabian_league,1000
31,108203770023880322,lck_academy,1000
32,106827757669296909,ljl_academy,900
33,98767991335774713,lck_challengers_league,1200
34,105549980953490846,cblol_academy,900
35,110371976858004491,north_regional_league,900
36,110372322609949919,south_regional_league,900
37,123,eu,1400
